Country,County,Latitude,Longitude
RoI,Carlow,52.702794,-6.955983
RoI,Carlow,52.834672,-6.922117
RoI,Carlow,52.846593,-6.902268
RoI,Carlow,52.841045,-6.923077
RoI,Carlow,52.837679,-6.933489
RoI,Carlow,52.836223,-6.933315
RoI,Carlow,52.833492,-6.927016
RoI,Carlow,52.801581,-6.736986
RoI,Carlow,52.800607,-6.738443
RoI,Cavan,53.917571,-6.972487
RoI,Cavan,53.917492,-6.968299
RoI,Cavan,53.86385,-7.204457
RoI,Cavan,53.99358,-7.361327
RoI,Cavan,53.985547,-7.359682
RoI,Cavan,54.075084,-7.079692
RoI,Cavan,53.991275,-7.36233
RoI,Clare,52.845081,-8.98337
RoI,Clare,52.83078,-8.979003
RoI,Clare,52.683379,-9.647069
RoI,Clare,52.642286,-9.477311
RoI,Clare,52.928911,-9.346292
RoI,Clare,53.027069,-9.290289
RoI,Clare,52.854144,-9.398487
RoI,Clare,52.761544,-8.897258
RoI,Clare,52.712696,-8.875768
RoI,Clare,52.708166,-8.877128
RoI,Clare,52.741566,-8.775394
RoI,Cork,51.744085,-8.739443
RoI,Cork,51.741434,-8.728538
RoI,Cork,51.681417,-9.456825
RoI,Cork,51.931807,-8.566211
RoI,Cork,51.814197,-8.389447
RoI,Cork,51.650662,-9.910673
RoI,Cork,52.358365,-8.686061
RoI,Cork,52.346839,-8.65417
RoI,Cork,51.620831,-8.88957
RoI,Cork,51.852858,-8.295589
RoI,Cork,51.867458,-8.474982
RoI,Cork,51.919755,-8.482733
RoI,Cork,51.902541,-8.456486
RoI,Cork,51.9021,-8.45634
RoI,Cork,51.896298,-8.473326
RoI,Cork,51.89519,-8.466071
RoI,Cork,51.895178,-8.467683
RoI,Cork,51.893018,-8.507823
RoI,Cork,51.87859,-8.466504
RoI,Cork,51.877,-8.3954
RoI,Cork,51.803537,-8.30804
RoI,Cork,51.721615,-9.111517
RoI,Cork,52.150444,-8.27808
RoI,Cork,52.13766,-8.266641
RoI,Cork,51.872405,-8.470652
RoI,Cork,51.750022,-9.553212
RoI,Cork,51.70866,-8.5204
RoI,Cork,51.90491,-8.954018
RoI,Cork,52.139237,-8.654588
RoI,Cork,52.136471,-8.64638
RoI,Cork,51.916846,-8.174847
RoI,Cork,52.263013,-8.268026
RoI,Cork,51.849032,-8.331938
RoI,Cork,51.553716,-9.262225
RoI,Cork,51.959203,-7.854046
RoI,Cork,51.956697,-7.850032
RoI,Donegal,54.797965,-7.783045
RoI,Donegal,54.501145,-8.188621
RoI,Donegal,55.137602,-7.456888
RoI,Donegal,55.135935,-7.452539
RoI,Donegal,55.251378,-7.262612
RoI,Donegal,54.65153,-8.112858
RoI,Donegal,54.658974,-8.089066
RoI,Donegal,54.950297,-8.362137
RoI,Donegal,55.13683,-8.10418
RoI,Donegal,54.798248,-8.284545
RoI,Donegal,54.636031,-8.443325
RoI,Donegal,54.614937,-8.089765
RoI,Donegal,54.961006,-7.731468
RoI,Donegal,54.9531,-7.733
RoI,Donegal,54.9521,-7.72542
RoI,Donegal,54.951508,-7.734554
RoI,Donegal,54.833245,-7.48663
RoI,Donegal,54.804946,-7.768815
RoI,Dublin,53.611523,-6.182852
RoI,Dublin,53.610233,-6.182937
RoI,Dublin,53.310296,-6.195844
RoI,Dublin,53.302596,-6.178974
RoI,Dublin,53.360629,-6.299333
RoI,Dublin,53.251009,-6.185082
RoI,Dublin,53.275704,-6.103034
RoI,Dublin,53.492693,-6.197212
RoI,Dublin,53.523101,-6.102373
RoI,Dublin,53.453217,-7.104172
RoI,Dublin,53.401559,-6.179905
RoI,Dublin,53.383207,-6.216304
RoI,Dublin,53.383092,-6.296249
RoI,Dublin,53.382607,-6.381065
RoI,Dublin,53.370817,-6.280923
RoI,Dublin,53.352862,-6.459997
RoI,Dublin,53.350242,-6.388903
RoI,Dublin,53.346032,-6.292832
RoI,Dublin,53.3201,-6.394229
RoI,Dublin,53.353856,-6.212747
RoI,Dublin,53.353218,-6.264812
RoI,Dublin,53.347479,-6.273155
RoI,Dublin,53.347085,-6.23198
RoI,Dublin,53.345953,-6.238395
RoI,Dublin,53.3453,-6.2513
RoI,Dublin,53.340947,-6.250199
RoI,Dublin,53.336699,-6.252228
RoI,Dublin,53.336496,-6.242715
RoI,Dublin,53.335409,-6.257851
RoI,Dublin,53.335203,-6.246205
RoI,Dublin,53.3344,-6.24871
RoI,Dublin,53.333894,-6.267083
