Year,County,Population
2002,Carlow,46014
2002,Dublin,1122821
2002,Kildare,163944
2002,Kilkenny,80339
2002,Laois,58774
2002,Longford,31068
2002,Louth,101821
2002,Meath,134005
2002,Offaly,63663
2002,Westmeath,71858
2002,Wexford,116596
2002,Wicklow,114676
2002,Clare,103277
2002,Cork,447829
2002,Kerry,132527
2002,Limerick,175304
2002,Tipperary,140131
2002,Waterford,101546
2002,Galway,209077
2002,Leitrim,25799
2002,Mayo,117446
2002,Roscommon,53774
2002,Sligo,58200
2002,Cavan,56546
2002,Donegal,137575
2002,Monaghan,52593
2006,Carlow,50349
2006,Dublin,1187176
2006,Kildare,186335
2006,Kilkenny,87558
2006,Laois,67059
2006,Longford,34391
2006,Louth,111267
2006,Meath,162831
2006,Offaly,70868
2006,Westmeath,79346
2006,Wexford,131749
2006,Wicklow,126194
2006,Clare,110950
2006,Cork,481295
2006,Kerry,139835
2006,Limerick,184055
2006,Tipperary,149244
2006,Waterford,107961
2006,Galway,231670
2006,Leitrim,28950
2006,Mayo,123839
2006,Roscommon,58768
2006,Sligo,60894
2006,Cavan,64003
2006,Donegal,147264
2006,Monaghan,55997
2011,Carlow,54612
2011,Dublin,1273069
2011,Kildare,210312
2011,Kilkenny,95419
2011,Laois,80559
2011,Longford,39000
2011,Louth,122897
2011,Meath,184135
2011,Offaly,76687
2011,Westmeath,86164
2011,Wexford,145320
2011,Wicklow,136640
2011,Clare,117196
2011,Cork,519032
2011,Kerry,145502
2011,Limerick,191809
2011,Tipperary,158754
2011,Waterford,113795
2011,Galway,250653
2011,Leitrim,31798
2011,Mayo,130638
2011,Roscommon,64065
2011,Sligo,65393
2011,Cavan,73183
2011,Donegal,161137
2011,Monaghan,60483
2016,Carlow,56932
2016,Dublin,1347359
2016,Kildare,222504
2016,Kilkenny,99232
2016,Laois,84697
2016,Longford,40873
2016,Louth,128884
2016,Meath,195044
2016,Offaly,77961
2016,Westmeath,88770
2016,Wexford,149722
2016,Wicklow,142425
2016,Clare,118817
2016,Cork,542868
2016,Kerry,147707
2016,Limerick,194899
2016,Tipperary,159553
2016,Waterford,116176
2016,Galway,258058
2016,Leitrim,32044
2016,Mayo,130507
2016,Roscommon,64544
2016,Sligo,65535
2016,Cavan,76176
2016,Donegal,159192
2016,Monaghan,61386
2022,Carlow,61968
2022,Dublin,1458154
2022,Kildare,247774
2022,Kilkenny,104160
2022,Laois,91877
2022,Longford,46751
2022,Louth,139703
2022,Meath,220826
2022,Offaly,83150
2022,Westmeath,96221
2022,Wexford,163919
2022,Wicklow,155851
2022,Clare,127938
2022,Cork,584156
2022,Kerry,156458
2022,Limerick,209536
2022,Tipperary,167895
2022,Waterford,127363
2022,Galway,277737
2022,Leitrim,35199
2022,Mayo,137970
2022,Roscommon,70259
2022,Sligo,70198
2022,Cavan,81704
2022,Donegal,167084
2022,Monaghan,65288
