Month,County,Fuel Type,Count,Year
January,Carlow,Petrol and electric hybrid,29,2021
January,Carlow,Electric,17,2021
January,Carlow,Petrol or Diesel plug-in hybrid electric,12,2021
January,Carlow,Diesel and electric hybrid,4,2021
January,Cavan,Petrol and electric hybrid,42,2021
January,Cavan,Electric,10,2021
January,Cavan,Petrol or Diesel plug-in hybrid electric,8,2021
January,Cavan,Diesel and electric hybrid,3,2021
January,Clare,Petrol and electric hybrid,95,2021
January,Clare,Electric,14,2021
January,Clare,Petrol or Diesel plug-in hybrid electric,12,2021
January,Clare,Diesel and electric hybrid,14,2021
January,Donegal,Petrol and electric hybrid,67,2021
January,Donegal,Electric,12,2021
January,Donegal,Petrol or Diesel plug-in hybrid electric,24,2021
January,Donegal,Diesel and electric hybrid,20,2021
January,Galway,Petrol and electric hybrid,155,2021
January,Galway,Electric,27,2021
January,Galway,Petrol or Diesel plug-in hybrid electric,15,2021
January,Galway,Diesel and electric hybrid,12,2021
January,Kerry,Petrol and electric hybrid,72,2021
January,Kerry,Electric,15,2021
January,Kerry,Petrol or Diesel plug-in hybrid electric,18,2021
January,Kerry,Diesel and electric hybrid,14,2021
January,Kildare,Petrol and electric hybrid,174,2021
January,Kildare,Electric,35,2021
January,Kildare,Petrol or Diesel plug-in hybrid electric,46,2021
January,Kildare,Diesel and electric hybrid,30,2021
January,Kilkenny,Petrol and electric hybrid,80,2021
January,Kilkenny,Electric,13,2021
January,Kilkenny,Petrol or Diesel plug-in hybrid electric,5,2021
January,Kilkenny,Diesel and electric hybrid,17,2021
January,Laois,Petrol and electric hybrid,47,2021
January,Laois,Electric,9,2021
January,Laois,Petrol or Diesel plug-in hybrid electric,15,2021
January,Laois,Diesel and electric hybrid,13,2021
January,Leitrim,Petrol and electric hybrid,16,2021
January,Leitrim,Electric,2,2021
January,Leitrim,Petrol or Diesel plug-in hybrid electric,2,2021
January,Leitrim,Diesel and electric hybrid,2,2021
January,Longford,Petrol and electric hybrid,36,2021
January,Longford,Electric,2,2021
January,Longford,Petrol or Diesel plug-in hybrid electric,3,2021
January,Longford,Diesel and electric hybrid,4,2021
January,Louth,Petrol and electric hybrid,94,2021
January,Louth,Electric,24,2021
January,Louth,Petrol or Diesel plug-in hybrid electric,19,2021
January,Louth,Diesel and electric hybrid,12,2021
January,Mayo,Petrol and electric hybrid,66,2021
January,Mayo,Electric,10,2021
January,Mayo,Petrol or Diesel plug-in hybrid electric,11,2021
January,Mayo,Diesel and electric hybrid,6,2021
January,Meath,Petrol and electric hybrid,152,2021
January,Meath,Electric,23,2021
January,Meath,Petrol or Diesel plug-in hybrid electric,22,2021
January,Meath,Diesel and electric hybrid,25,2021
January,Monaghan,Petrol and electric hybrid,14,2021
January,Monaghan,Electric,4,2021
January,Monaghan,Petrol or Diesel plug-in hybrid electric,5,2021
January,Monaghan,Diesel and electric hybrid,0,2021
January,Offaly,Petrol and electric hybrid,67,2021
January,Offaly,Electric,8,2021
January,Offaly,Petrol or Diesel plug-in hybrid electric,9,2021
January,Offaly,Diesel and electric hybrid,9,2021
January,Roscommon,Petrol and electric hybrid,40,2021
January,Roscommon,Electric,4,2021
January,Roscommon,Petrol or Diesel plug-in hybrid electric,1,2021
January,Roscommon,Diesel and electric hybrid,3,2021
January,Sligo,Petrol and electric hybrid,40,2021
January,Sligo,Electric,12,2021
January,Sligo,Petrol or Diesel plug-in hybrid electric,4,2021
January,Sligo,Diesel and electric hybrid,3,2021
January,Westmeath,Petrol and electric hybrid,68,2021
January,Westmeath,Electric,22,2021
January,Westmeath,Petrol or Diesel plug-in hybrid electric,26,2021
January,Westmeath,Diesel and electric hybrid,12,2021
January,Wexford,Petrol and electric hybrid,106,2021
January,Wexford,Electric,26,2021
January,Wexford,Petrol or Diesel plug-in hybrid electric,27,2021
January,Wexford,Diesel and electric hybrid,15,2021
January,Wicklow,Petrol and electric hybrid,98,2021
January,Wicklow,Electric,29,2021
January,Wicklow,Petrol or Diesel plug-in hybrid electric,23,2021
January,Wicklow,Diesel and electric hybrid,13,2021
January,Limerick,Petrol and electric hybrid,146,2021
January,Limerick,Electric,23,2021
January,Limerick,Petrol or Diesel plug-in hybrid electric,33,2021
January,Limerick,Diesel and electric hybrid,21,2021
January,Waterford,Petrol and electric hybrid,81,2021
January,Waterford,Electric,19,2021
January,Waterford,Petrol or Diesel plug-in hybrid electric,23,2021
January,Waterford,Diesel and electric hybrid,10,2021
January,Tipperary,Petrol and electric hybrid,118,2021
January,Tipperary,Electric,21,2021
January,Tipperary,Petrol or Diesel plug-in hybrid electric,21,2021
January,Tipperary,Diesel and electric hybrid,18,2021
January,Cork,Petrol and electric hybrid,489,2021
January,Cork,Electric,83,2021
January,Cork,Petrol or Diesel plug-in hybrid electric,88,2021
January,Cork,Diesel and electric hybrid,78,2021
January,Dublin,Petrol and electric hybrid,1213,2021
January,Dublin,Electric,275,2021
January,Dublin,Petrol or Diesel plug-in hybrid electric,355,2021
January,Dublin,Diesel and electric hybrid,52,2021
February,Carlow,Petrol and electric hybrid,29,2021
February,Carlow,Electric,15,2021
February,Carlow,Petrol or Diesel plug-in hybrid electric,8,2021
February,Carlow,Diesel and electric hybrid,3,2021
February,Cavan,Petrol and electric hybrid,38,2021
February,Cavan,Electric,5,2021
February,Cavan,Petrol or Diesel plug-in hybrid electric,5,2021
February,Cavan,Diesel and electric hybrid,1,2021
February,Clare,Petrol and electric hybrid,43,2021
February,Clare,Electric,12,2021
February,Clare,Petrol or Diesel plug-in hybrid electric,10,2021
February,Clare,Diesel and electric hybrid,14,2021
February,Donegal,Petrol and electric hybrid,52,2021
February,Donegal,Electric,12,2021
February,Donegal,Petrol or Diesel plug-in hybrid electric,19,2021
February,Donegal,Diesel and electric hybrid,14,2021
February,Galway,Petrol and electric hybrid,86,2021
February,Galway,Electric,25,2021
February,Galway,Petrol or Diesel plug-in hybrid electric,21,2021
February,Galway,Diesel and electric hybrid,4,2021
February,Kerry,Petrol and electric hybrid,55,2021
February,Kerry,Electric,10,2021
February,Kerry,Petrol or Diesel plug-in hybrid electric,11,2021
February,Kerry,Diesel and electric hybrid,12,2021
February,Kildare,Petrol and electric hybrid,88,2021
February,Kildare,Electric,21,2021
February,Kildare,Petrol or Diesel plug-in hybrid electric,50,2021
February,Kildare,Diesel and electric hybrid,11,2021
February,Kilkenny,Petrol and electric hybrid,37,2021
February,Kilkenny,Electric,9,2021
February,Kilkenny,Petrol or Diesel plug-in hybrid electric,8,2021
February,Kilkenny,Diesel and electric hybrid,15,2021
February,Laois,Petrol and electric hybrid,22,2021
February,Laois,Electric,10,2021
February,Laois,Petrol or Diesel plug-in hybrid electric,9,2021
February,Laois,Diesel and electric hybrid,9,2021
February,Leitrim,Petrol and electric hybrid,11,2021
February,Leitrim,Electric,3,2021
February,Leitrim,Petrol or Diesel plug-in hybrid electric,0,2021
February,Leitrim,Diesel and electric hybrid,1,2021
February,Longford,Petrol and electric hybrid,20,2021
February,Longford,Electric,2,2021
February,Longford,Petrol or Diesel plug-in hybrid electric,1,2021
February,Longford,Diesel and electric hybrid,1,2021
February,Louth,Petrol and electric hybrid,53,2021
February,Louth,Electric,13,2021
February,Louth,Petrol or Diesel plug-in hybrid electric,9,2021
February,Louth,Diesel and electric hybrid,7,2021
February,Mayo,Petrol and electric hybrid,34,2021
February,Mayo,Electric,10,2021
February,Mayo,Petrol or Diesel plug-in hybrid electric,4,2021
February,Mayo,Diesel and electric hybrid,8,2021
February,Meath,Petrol and electric hybrid,97,2021
February,Meath,Electric,18,2021
February,Meath,Petrol or Diesel plug-in hybrid electric,24,2021
February,Meath,Diesel and electric hybrid,9,2021
February,Monaghan,Petrol and electric hybrid,27,2021
February,Monaghan,Electric,3,2021
February,Monaghan,Petrol or Diesel plug-in hybrid electric,6,2021
February,Monaghan,Diesel and electric hybrid,0,2021
February,Offaly,Petrol and electric hybrid,26,2021
February,Offaly,Electric,2,2021
February,Offaly,Petrol or Diesel plug-in hybrid electric,4,2021
February,Offaly,Diesel and electric hybrid,7,2021
February,Roscommon,Petrol and electric hybrid,30,2021
February,Roscommon,Electric,1,2021
February,Roscommon,Petrol or Diesel plug-in hybrid electric,1,2021
February,Roscommon,Diesel and electric hybrid,2,2021
February,Sligo,Petrol and electric hybrid,22,2021
February,Sligo,Electric,9,2021
February,Sligo,Petrol or Diesel plug-in hybrid electric,10,2021
February,Sligo,Diesel and electric hybrid,2,2021
February,Westmeath,Petrol and electric hybrid,32,2021
February,Westmeath,Electric,16,2021
February,Westmeath,Petrol or Diesel plug-in hybrid electric,14,2021
February,Westmeath,Diesel and electric hybrid,4,2021
February,Wexford,Petrol and electric hybrid,54,2021
February,Wexford,Electric,18,2021
February,Wexford,Petrol or Diesel plug-in hybrid electric,17,2021
February,Wexford,Diesel and electric hybrid,7,2021
February,Wicklow,Petrol and electric hybrid,37,2021
February,Wicklow,Electric,23,2021
February,Wicklow,Petrol or Diesel plug-in hybrid electric,15,2021
February,Wicklow,Diesel and electric hybrid,7,2021
February,Limerick,Petrol and electric hybrid,73,2021
February,Limerick,Electric,20,2021
February,Limerick,Petrol or Diesel plug-in hybrid electric,28,2021
February,Limerick,Diesel and electric hybrid,10,2021
February,Waterford,Petrol and electric hybrid,46,2021
February,Waterford,Electric,6,2021
February,Waterford,Petrol or Diesel plug-in hybrid electric,24,2021
February,Waterford,Diesel and electric hybrid,5,2021
February,Tipperary,Petrol and electric hybrid,63,2021
February,Tipperary,Electric,15,2021
February,Tipperary,Petrol or Diesel plug-in hybrid electric,22,2021
February,Tipperary,Diesel and electric hybrid,16,2021
February,Cork,Petrol and electric hybrid,296,2021
February,Cork,Electric,55,2021
February,Cork,Petrol or Diesel plug-in hybrid electric,96,2021
February,Cork,Diesel and electric hybrid,28,2021
February,Dublin,Petrol and electric hybrid,659,2021
February,Dublin,Electric,237,2021
February,Dublin,Petrol or Diesel plug-in hybrid electric,299,2021
February,Dublin,Diesel and electric hybrid,45,2021
March,Carlow,Petrol and electric hybrid,16,2021
March,Carlow,Electric,13,2021
March,Carlow,Petrol or Diesel plug-in hybrid electric,5,2021
March,Carlow,Diesel and electric hybrid,3,2021
March,Cavan,Petrol and electric hybrid,9,2021
March,Cavan,Electric,10,2021
March,Cavan,Petrol or Diesel plug-in hybrid electric,4,2021
March,Cavan,Diesel and electric hybrid,1,2021
March,Clare,Petrol and electric hybrid,38,2021
March,Clare,Electric,21,2021
March,Clare,Petrol or Diesel plug-in hybrid electric,7,2021
March,Clare,Diesel and electric hybrid,7,2021
March,Donegal,Petrol and electric hybrid,32,2021
March,Donegal,Electric,14,2021
March,Donegal,Petrol or Diesel plug-in hybrid electric,20,2021
March,Donegal,Diesel and electric hybrid,13,2021
March,Galway,Petrol and electric hybrid,85,2021
March,Galway,Electric,46,2021
March,Galway,Petrol or Diesel plug-in hybrid electric,24,2021
March,Galway,Diesel and electric hybrid,9,2021
March,Kerry,Petrol and electric hybrid,38,2021
March,Kerry,Electric,11,2021
March,Kerry,Petrol or Diesel plug-in hybrid electric,6,2021
March,Kerry,Diesel and electric hybrid,12,2021
March,Kildare,Petrol and electric hybrid,74,2021
March,Kildare,Electric,62,2021
March,Kildare,Petrol or Diesel plug-in hybrid electric,51,2021
March,Kildare,Diesel and electric hybrid,13,2021
March,Kilkenny,Petrol and electric hybrid,20,2021
March,Kilkenny,Electric,14,2021
March,Kilkenny,Petrol or Diesel plug-in hybrid electric,25,2021
March,Kilkenny,Diesel and electric hybrid,10,2021
March,Laois,Petrol and electric hybrid,12,2021
March,Laois,Electric,3,2021
March,Laois,Petrol or Diesel plug-in hybrid electric,7,2021
March,Laois,Diesel and electric hybrid,5,2021
March,Leitrim,Petrol and electric hybrid,7,2021
March,Leitrim,Electric,2,2021
March,Leitrim,Petrol or Diesel plug-in hybrid electric,1,2021
March,Leitrim,Diesel and electric hybrid,2,2021
March,Longford,Petrol and electric hybrid,9,2021
March,Longford,Electric,5,2021
March,Longford,Petrol or Diesel plug-in hybrid electric,2,2021
March,Longford,Diesel and electric hybrid,1,2021
March,Louth,Petrol and electric hybrid,33,2021
March,Louth,Electric,22,2021
March,Louth,Petrol or Diesel plug-in hybrid electric,14,2021
March,Louth,Diesel and electric hybrid,5,2021
March,Mayo,Petrol and electric hybrid,27,2021
March,Mayo,Electric,12,2021
March,Mayo,Petrol or Diesel plug-in hybrid electric,7,2021
March,Mayo,Diesel and electric hybrid,2,2021
March,Meath,Petrol and electric hybrid,75,2021
March,Meath,Electric,37,2021
March,Meath,Petrol or Diesel plug-in hybrid electric,31,2021
March,Meath,Diesel and electric hybrid,7,2021
March,Monaghan,Petrol and electric hybrid,10,2021
March,Monaghan,Electric,1,2021
March,Monaghan,Petrol or Diesel plug-in hybrid electric,1,2021
March,Monaghan,Diesel and electric hybrid,1,2021
March,Offaly,Petrol and electric hybrid,18,2021
March,Offaly,Electric,10,2021
March,Offaly,Petrol or Diesel plug-in hybrid electric,6,2021
March,Offaly,Diesel and electric hybrid,7,2021
March,Roscommon,Petrol and electric hybrid,28,2021
March,Roscommon,Electric,9,2021
March,Roscommon,Petrol or Diesel plug-in hybrid electric,6,2021
March,Roscommon,Diesel and electric hybrid,2,2021
March,Sligo,Petrol and electric hybrid,21,2021
March,Sligo,Electric,8,2021
March,Sligo,Petrol or Diesel plug-in hybrid electric,10,2021
March,Sligo,Diesel and electric hybrid,4,2021
March,Westmeath,Petrol and electric hybrid,28,2021
March,Westmeath,Electric,12,2021
March,Westmeath,Petrol or Diesel plug-in hybrid electric,12,2021
March,Westmeath,Diesel and electric hybrid,1,2021
March,Wexford,Petrol and electric hybrid,39,2021
March,Wexford,Electric,28,2021
March,Wexford,Petrol or Diesel plug-in hybrid electric,24,2021
March,Wexford,Diesel and electric hybrid,4,2021
March,Wicklow,Petrol and electric hybrid,31,2021
March,Wicklow,Electric,34,2021
March,Wicklow,Petrol or Diesel plug-in hybrid electric,23,2021
March,Wicklow,Diesel and electric hybrid,4,2021
March,Limerick,Petrol and electric hybrid,64,2021
March,Limerick,Electric,34,2021
March,Limerick,Petrol or Diesel plug-in hybrid electric,22,2021
March,Limerick,Diesel and electric hybrid,5,2021
March,Waterford,Petrol and electric hybrid,26,2021
March,Waterford,Electric,9,2021
March,Waterford,Petrol or Diesel plug-in hybrid electric,26,2021
March,Waterford,Diesel and electric hybrid,10,2021
March,Tipperary,Petrol and electric hybrid,38,2021
March,Tipperary,Electric,17,2021
March,Tipperary,Petrol or Diesel plug-in hybrid electric,25,2021
March,Tipperary,Diesel and electric hybrid,13,2021
March,Cork,Petrol and electric hybrid,203,2021
